mouse_gene,human_gene
Krt31,KRT33A
Krt33a,KRT33A
Zscan2,ZSCAN2
Rbck1,RBCK1
Srek1ip1,SREK1IP1
Oga,OGA
Psmd10,PSMD10
Scgb1a1,SCGB1A1
Ccdc127,CCDC127
Pola2,POLA2
Adamts16,ADAMTS16
Tubb4b,TUBB4B
Lenep,LENEP
Cd4,CD4
Arsg,ARSG
Arpc5,ARPC5
Aadac,AADAC
Myo1e,MYO1E
Apobec4,APOBEC4
Ndor1,NDOR1
Ints6l,INTS6L
Trim40,TRIM40
Aknad1,AKNAD1
Usp49,USP49
Gm26425,RNU4-30P
Gm55605,RNU4-30P
Gm22956,RNU4-30P
Ccr6,CCR6
Kctd11,KCTD11
Fam131a,FAM131A
Rnf227,RNF227
Itgad,ITGAD
Or4d2b,OR4D2
Or4d2,OR4D2
Tbc1d9b,TBC1D9B
Rsph3a,RSPH3
Rsph3b,RSPH3
Chmp6,CHMP6
Sesn1,SESN1
Abce1,ABCE1
Traf6,TRAF6
Bhlha9,BHLHA9
Pde4b,PDE4B
Trarg1,TRARG1
Usp2,USP2
Clcn4,CLCN4
Trim25,TRIM25
Aldoart2,ALDOA
Aldoart1,ALDOA
Aldoa,ALDOA
Bche,BCHE
Arl1,ARL1
Vnn1,VNN1
Mcur1,MCUR1
Rpl12,RPL12
Zfp750,ZNF750
Oxsr1,OXSR1
Tmem121,TMEM121
Rnf138,RNF138
Metrnl,METRNL
Slc7a7,SLC7A7
C1rl,C1RL
Commd9,COMMD9
Btbd9,BTBD9
Sdk1,SDK1
Mcm4,MCM4
Pfpl,MPEG1
Mpeg1,MPEG1
Zfp408,ZNF408
Syt4,SYT4
Endod1,ENDOD1
Smpd1,SMPD1
Wdr77,WDR77
Slc16a10,SLC16A10
Osbpl1a,OSBPL1A
Gls2,GLS2
Akap7,AKAP7
Mrc2,MRC2
Tmigd3,TMIGD3
Mtmr3,MTMR3
Lfng,LFNG
Inip,INIP
Gm24388,RNU6-792P
Gm25482,RNU6-792P
Adora3,ADORA3
Rftn1,RFTN1
Foxo6,FOXO6
Supt3,SUPT3H
Thrsp,THRSP
Hs2st1,HS2ST1
Chrnb4,CHRNB4
Cfap77,CFAP77
Ids,IDS
Aif1,AIF1
Sun3,SUN3
Rab1b,RAB1B
Snapc4,SNAPC4
Gm22542,RNU6-446P
Slc4a1,SLC4A1
Fbxo22,FBXO22
Hs3st6,HS3ST6
H2ac25,H2AC25
H2bc26,H2BC26
Utp15,UTP15
Tekt5,TEKT5
Dnmbp,DNMBP
Slc44a5,SLC44A5
Nfx1,NFX1
Runx2,RUNX2
Arhgef12,ARHGEF12
Dexi,DEXI
Ythdc1,YTHDC1
Ccdc71l,CCDC71L
Tomm7,TOMM7
Ears2,EARS2
Ripor3,RIPOR3
Hoxa10,HOXA10
Slc24a1,SLC24A1
Tmem178b,TMEM178B
Try5,PRSS2
Try4,PRSS2
Prss1l,PRSS2
Prss1,PRSS2
Try10,PRSS2
Prss3l,PRSS2
Prss3,PRSS2
Prss2,PRSS2
Dnah11,DNAH11
Fam229a,FAM229A
Tchh,TCHH
Cyp46a1,CYP46A1
Ccm2l,CCM2L
Tll2,TLL2
Ctxnd2,CTXND2
Ero1b,ERO1B
Ntn3,NTN3
Commd2,COMMD2
Gm22540,RNU6-453P
Gm56034,5S_rRNA
Gm55958,5S_rRNA
Mir144,MIR144
Kcng1,KCNG1
Ush1g,USH1G
Mir484,MIR484
Or1d2,OR1D2
Snord68,SNORD68
Cyp39a1,CYP39A1
Ctf1,CTF1
Pdzd9,PDZD9
Spata22,SPATA22
Nkd1,NKD1
Kprp,KPRP
Rgs8,RGS8
Malt1,MALT1
Btla,BTLA
Map3k15,MAP3K15
Pigg,PIGG
Ticrr,TICRR
Asah2,ASAH2B
A4gnt,A4GNT
Eaf2,EAF2
Adgrf1,ADGRF1
Gm24701,RNU6-20P
Gm25354,RNU6-20P
Caml,CAMLG
Rnf114,RNF114
Htr1f,HTR1F
Celsr2,CELSR2
Slco2a1,SLCO2A1
Bod1,BOD1
Acin1,ACIN1
Mir138-2,MIR138-2
Arl2bp,ARL2BP
Nipsnap3b,NIPSNAP3A
Nipsnap3a,NIPSNAP3A
Rad50,RAD50
Sufu,SUFU
Spdye4b,SPDYE2B
Spdye4a,SPDYE2B
Phaf1,PHAF1
Wdr44,WDR44
Sapcd2,SAPCD2
Rnasek,RNASEK
Spdye4b,SPDYE5
Spdye4a,SPDYE5
Prc1,PRC1
Spdye4b,SPDYE9
Spdye4a,SPDYE9
Spdye4b,SPDYE11
Spdye4a,SPDYE11
Lactbl1,LACTBL1
Spdye4b,SPDYE13
Spdye4a,SPDYE13
Snta1,SNTA1
Spdye4b,SPDYE15
Spdye4a,SPDYE15
Spdye4b,SPDYE16
Spdye4a,SPDYE16
Spdye4b,SPDYE17
Spdye4a,SPDYE17
Mir195a,MIR195
Stoml2,STOML2
Spdye4b,SPDYE1
Spdye4a,SPDYE1
Mir497,MIR497
Slc16a13,SLC16A13
Phf23,PHF23
Treml1,TREML1
Tbx20,TBX20
Atg9b,ATG9B
Nfkbie,NFKBIE
Ppp1r2,PPP1R2
Ppp1r2-ps5,PPP1R2
Ppp1r2-ps1,PPP1R2
Ppp1r2-ps6,PPP1R2
Dlgap4,DLGAP4
Frk,FRK
Gbx1,GBX1
Foxl3,FOXL3
Tmem208,TMEM208
Asz1,ASZ1
Qrich2,QRICH2
Gpld1,GPLD1
Nhlh1,NHLH1
Prr19,PRR19
Clca2,CLCA2
Slc6a11,SLC6A11
Tet1,TET1
Eif4ebp1,EIF4EBP1
Izumo2,IZUMO2
Kctd19,KCTD19
Dscc1,DSCC1
1700020L24Rik,C17orf50
Nudt4,NUDT4B
Gm55242,RN7SKP88
Abhd15,ABHD15
Pafah1b3,PAFAH1B3
Neurog3,NEUROG3
Kin,KIN
Zbtb14,ZBTB14
Arhgap31,ARHGAP31
Ccdc30,CCDC30
Cttnbp2,CTTNBP2
Asb7,ASB7
Saraf,SARAF
Fbxw7,FBXW7
Lrrc36,LRRC36
Atp5f1d,ATP5F1D
Cd96,CD96
Stmn3,STMN3
Rnf152,RNF152
Rbpms2,RBPMS2
Bmp2,BMP2
Pdcd11,PDCD11
Dnaaf9,DNAAF9
Tmprss5,TMPRSS5
Slc25a48,SLC25A48
Gdap1,GDAP1
Cblc,CBLC
Slc27a2,SLC27A2
Chpf2,CHPF2
Pdha1,PDHA1
Yars2,YARS2
4933430I17Rik,C9orf43
Cog8,COG8
Klhl42,KLHL42
Garin1b,GARIN1B
Slc45a4,SLC45A4
Man2b2,MAN2B2
Pdf,PDF
Cep72,CEP72
Iyd,IYD
Slc17a8,SLC17A8
Sephs2,SEPHS2
Zfp768,ZNF768
Lztfl1,LZTFL1
Pole3,POLE3
Spdye4b,SPDYE6
Spdye4a,SPDYE6
Matn1,MATN1
Srgap1,SRGAP1
Lmnb1,LMNB1
Ccnb2,CCNB2
Fbrs,FBRS
Sfpq,SFPQ
Lamtor4,LAMTOR4
Cks2,CKS2
Exosc5,EXOSC5
Tgs1,TGS1
H2-Oa,HLA-DOA
Ugcg,UGCG
Prss54,PRSS54
Mia2,CTAGE8
Rpl18a,RPL18A
Kcp,KCP
Trim27,TRIM27
Nat2,NAT1
Nat3,NAT1
Nat1,NAT1
Dctpp1,DCTPP1
Psmf1,PSMF1
Gnaz,GNAZ
Smc1a,SMC1A
4933402J07Rik,C16orf78
Sh3glb2,SH3GLB2
Bik,BIK
Lin7a,LIN7A
Cetn3,CETN3
Prg2,PRG2
Mrpl15,MRPL15
Stra8,STRA8
Zfp423,ZNF423
Armcx5,ARMCX5
Grifin,GRIFIN
Mia2,CTAGE4
Arhgef3,ARHGEF3
Cdc14b,CDC14C
Sap25,SAP25
Ribc1,RIBC1
Psmb9,PSMB9
Oas3,OAS3
Ube2srt,UBE2S
Ube2s,UBE2S
Oxct2b,OXCT2
Oxct2a,OXCT2
Krt34,KRT34
Fam237b,FAM237B
Rbm39,RBM39
Lmntd2,LMNTD2
Sun2,SUN2
Pclaf,PCLAF
Trit1,TRIT1
Fbxo27,FBXO27
Spdye4b,SPDYE21
Spdye4a,SPDYE21
Grid2ip,GRID2IP
Adcy7,ADCY7
Nrep,NREP
Arfgef1,ARFGEF1
Or1a1b,OR1A2
Or1a1,OR1A2
Zfand3,ZFAND3
Lmnb2,LMNB2
Gdpd1,GDPD1
Rnaseh2c,RNASEH2C
Gm21394,SPIN2B
Gm20826,SPIN2B
Gm20777,SPIN2B
Gm21812,SPIN2B
Gm20815,SPIN2B
Gm20822,SPIN2B
Gm20816,SPIN2B
Gm21719,SPIN2B
Gm20823,SPIN2B
Gm20821,SPIN2B
Gm20865,SPIN2B
Gm20807,SPIN2B
Gm21943,SPIN2B
Gm29049,SPIN2B
Gm21874,SPIN2B
Gm20830,SPIN2B
Gm20773,SPIN2B
Gm28171,SPIN2B
Gm20772,SPIN2B
Gm20737,SPIN2B
Gm21425,SPIN2B
Gm20917,SPIN2B
Gm20795,SPIN2B
Gm20747,SPIN2B
Gm20834,SPIN2B
Gm20867,SPIN2B
Gm20828,SPIN2B
Gm21778,SPIN2B
Ssty1,SPIN2B
Gm21854,SPIN2B
Gm20825,SPIN2B
Gm20914,SPIN2B
Gm20809,SPIN2B
Gm21440,SPIN2B
Gm21118,SPIN2B
Gm20812,SPIN2B
Gm21310,SPIN2B
Gm20854,SPIN2B
Gm20909,SPIN2B
Gm21244,SPIN2B
Gm20806,SPIN2B
Gm20831,SPIN2B
Gm21454,SPIN2B
Ssty2,SPIN2B
Gm29424,SPIN2B
Gm20873,SPIN2B
Gm21721,SPIN2B
Gm20918,SPIN2B
Gm21292,SPIN2B
Gm20852,SPIN2B
Gm20877,SPIN2B
Gm20924,SPIN2B
Gm20738,SPIN2B
Nek1,NEK1
Rsl24d1,RSL24D1
Adtrp,ADTRP
Cstf2,CSTF2
Or9a7,OR9A1P
Bmper,BMPER
Ypel2,YPEL2
Sox6,SOX6
Smpdl3a,SMPDL3A
Ncapg,NCAPG
Tnfsf13,TNFSF13
Ssh1,SSH1
Zfp507,ZNF507
Clmn,CLMN
Arfgef3,ARFGEF3
Abhd17c,ABHD17C
Edc3,EDC3
Gm25039,RNU6-1328P
Tent4b,TENT4B
Spdye4b,SPDYE2
Spdye4a,SPDYE2
Numbl,NUMBL
Spdye4b,SPDYE12
Spdye4a,SPDYE12
Hsd17b10,HSD17B10
Iapp,IAPP
Cd300a,CD300LD
Pprc1,PPRC1
Trgv7,TRGV8
Krt39,KRT39
Bin3,BIN3
Trgv7,TRGV5
Abhd12b,ABHD12B
Mmab,MMAB
Trgv7,TRGV4
Trgv7,TRGV3
Trgv7,TRGV2
Trgv7,TRGV1
Cklf,CKLF
Krtap3-3,KRTAP3-3
Krtap3-2,KRTAP3-3
Krtap3-3,KRTAP3-2
Krtap3-2,KRTAP3-2
Tcte1,TCTE1
Xrcc2,XRCC2
Krtap3-1,KRTAP3-1
Car5b,CA5B
Krtap1-5,KRTAP1-5
Krtap1-5,KRTAP1-3
Kdm1b,KDM1B
Krtap1-5,KRTAP1-1
Krtap5-26,KRTAP2-3
Krtap5-24,KRTAP2-3
Krtap5-2,KRTAP2-3
Krtap5-20,KRTAP2-3
Frmd4b,FRMD4B
Krtap5-26,KRTAP2-4
Krtap5-24,KRTAP2-4
Krtap5-2,KRTAP2-4
Krtap5-20,KRTAP2-4
Krtap5-26,KRTAP4-11
Krtap5-24,KRTAP4-11
Krtap5-2,KRTAP4-11
Krtap5-20,KRTAP4-11
Trbv17,TRBV15
Krtap4-7,KRTAP4-12
Krtap4-24,KRTAP4-12
Krtap5-26,KRTAP4-5
Krtap5-24,KRTAP4-5
Krtap5-2,KRTAP4-5
Krtap5-20,KRTAP4-5
Krtap12-20,KRTAP4-5
Krtap12-23,KRTAP4-5
Krtap12-21,KRTAP4-5
Krtap12-1,KRTAP4-5
Krtap12-22,KRTAP4-5
Krtap10-33,KRTAP4-5
Krtap10-32,KRTAP4-5
Krtap10-30,KRTAP4-5
Krtap10-28,KRTAP4-5
Krtap10-31,KRTAP4-5
Krtap10-29,KRTAP4-5
Gm49918,KRTAP4-5
Krtap10-27,KRTAP4-5
Krtap10-26,KRTAP4-5
Krtap10-22,KRTAP4-5
Krtap10-23,KRTAP4-5
Krtap10-25,KRTAP4-5
Krtap10-21,KRTAP4-5
Krtap10-24,KRTAP4-5
Krtap10-10,KRTAP4-5
Krtap10-4,KRTAP4-5
Krtap10-35,KRTAP4-5
Krtap10-34,KRTAP4-5
Cdc25c,CDC25C
Trbv19,TRBV19
Krtap5-26,KRTAP4-4
Krtap5-24,KRTAP4-4
Krtap5-2,KRTAP4-4
Krtap5-20,KRTAP4-4
Trbv20,TRBV20-1
Septin6,SEPTIN6
Or1a1b,OR1A1
Or1a1,OR1A1
Trbv23,TRBV23-1
Trbv26,TRBV23-1
Krt40,KRT40
Trbv29,TRBV28
Trbv30,TRBV29-1
Cebpg,CEBPG
Cbll1,CBLL1
Cmtm2b,CMTM2
Cmtm2a,CMTM2
Or4d1,OR4D1
Rtraf,RTRAF
Micos13,MICOS13
Cmtm4,CMTM4
Tjp1,TJP1
Tex35,TEX35
Lrguk,LRGUK
Dnmt1,DNMT1
Vip,VIP
Sqle,SQLE
Tk2,TK2
Upk1b,UPK1B
Neil3,NEIL3
Dgka,DGKA
Uqcrh,UQCRHL
Ankrd61,ANKRD61
Prrt1,PRRT1
Il10,IL10
Slfn14,SLFN14
H2bc3,H2BC15
Elovl6,ELOVL6
Slc22a1,SLC22A1
Snord7,SNORD7
Mir29a,MIR29A
Mir29b-1,MIR29B1
Gm23407,RNU6-1010P
Ocm,OCM2
Abca9,ABCA9
Agt,AGT
Ccdc201,CCDC201
Gm14891,CCDC201
Auts2,AUTS2
Anks6,ANKS6
Zfp42,ZFP42
Cfap141,CFAP141
Gm24608,SNORA58B
Bcl2l15,BCL2L15
Adam21,ADAM21
Dip2c,DIP2C
Npffr2,NPFFR2
Dcaf11,DCAF11
Chchd7,CHCHD7
4921539E11Rik,C1orf141
Ccna2,CCNA2
Ahsg,AHSG
Slf2,SLF2
Gm25598,RNU6-968P
Aadacl3,AADACL3
Prdm5,PRDM5
Cfap107,CFAP107
Tmem109,TMEM109
Pramel61,PRAMEF12
Pramel20,PRAMEF12
Pramel24,PRAMEF12
Pramel30,PRAMEF12
Pramel31,PRAMEF12
Pramel55,PRAMEF12
Pramel56,PRAMEF12
Pramel1,PRAMEF12
Pramel21,PRAMEF12
Pramel22,PRAMEF12
Pramel60,PRAMEF12
Pramel50,PRAMEF12
Gm16367,PRAMEF12
Pramel19,PRAMEF12
Pramel46,PRAMEF12
Pramel51,PRAMEF12
Pramel42,PRAMEF12
Pramel47,PRAMEF12
Pramel35,PRAMEF12
Pramel36,PRAMEF12
Pramel44,PRAMEF12
Oog3,PRAMEF12
Pramel33,PRAMEF12
Pramel43,PRAMEF12
Gm13043,PRAMEF12
Pramel48,PRAMEF12
Pramel4,PRAMEF12
Pramel23,PRAMEF12
Pramel40,PRAMEF12
Pramel38,PRAMEF12
Pramel57,PRAMEF12
Pramel45,PRAMEF12
Pramel14,PRAMEF12
Pramel37,PRAMEF12
Pramel41,PRAMEF12
Gm13057,PRAMEF12
Pramel11,PRAMEF12
Prame62,PRAMEF12
Gm13040,PRAMEF12
Pramel16,PRAMEF12
Pramel7,PRAMEF12
Pramel29,PRAMEF12
Pramel25,PRAMEF12
Pramel34,PRAMEF12
Gm2042,PRAMEF12
Pramel6,PRAMEF12
Pramel54,PRAMEF12
Pramel15,PRAMEF12
C130073F10Rik,PRAMEF12
Pramel53,PRAMEF12
Oog2,PRAMEF12
Pramel5,PRAMEF12
Pramel49,PRAMEF12
Pramel27,PRAMEF12
Pramel12,PRAMEF12
Gm12790,PRAMEF12
Pramel28,PRAMEF12
Oog1,PRAMEF12
Pramel26,PRAMEF12
Oog4,PRAMEF12
Pramel18,PRAMEF12
Pramel17,PRAMEF12
Pramel13,PRAMEF12
Pramel32,PRAMEF12
Pramel61,PRAMEF1
Pramel20,PRAMEF1
Pramel24,PRAMEF1
Pramel30,PRAMEF1
Pramel31,PRAMEF1
Pramel55,PRAMEF1
Pramel56,PRAMEF1
Pramel1,PRAMEF1
Pramel21,PRAMEF1
Pramel22,PRAMEF1
Pramel60,PRAMEF1
Pramel50,PRAMEF1
Gm16367,PRAMEF1
Pramel19,PRAMEF1
Pramel46,PRAMEF1
Pramel51,PRAMEF1
Pramel42,PRAMEF1
Pramel47,PRAMEF1
Pramel35,PRAMEF1
Pramel36,PRAMEF1
Pramel44,PRAMEF1
Oog3,PRAMEF1
Pramel33,PRAMEF1
Pramel43,PRAMEF1
Gm13043,PRAMEF1
Pramel48,PRAMEF1
Pramel4,PRAMEF1
Pramel23,PRAMEF1
Pramel40,PRAMEF1
Pramel38,PRAMEF1
Pramel57,PRAMEF1
Pramel45,PRAMEF1
Pramel14,PRAMEF1
Pramel37,PRAMEF1
Pramel41,PRAMEF1
Gm13057,PRAMEF1
Pramel11,PRAMEF1
Prame62,PRAMEF1
Gm13040,PRAMEF1
Pramel16,PRAMEF1
Pramel7,PRAMEF1
Pramel29,PRAMEF1
Pramel25,PRAMEF1
Pramel34,PRAMEF1
Gm2042,PRAMEF1
Pramel6,PRAMEF1
Pramel54,PRAMEF1
Pramel15,PRAMEF1
C130073F10Rik,PRAMEF1
Pramel53,PRAMEF1
Oog2,PRAMEF1
Pramel5,PRAMEF1
Pramel49,PRAMEF1
Pramel27,PRAMEF1
Pramel12,PRAMEF1
Gm12790,PRAMEF1
Pramel28,PRAMEF1
Oog1,PRAMEF1
Pramel26,PRAMEF1
Oog4,PRAMEF1
Pramel18,PRAMEF1
Pramel17,PRAMEF1
Pramel13,PRAMEF1
Pramel32,PRAMEF1
Col12a1,COL12A1
Pramel61,PRAMEF11
Pramel20,PRAMEF11
Pramel24,PRAMEF11
Pramel30,PRAMEF11
Pramel31,PRAMEF11
Pramel55,PRAMEF11
Pramel56,PRAMEF11
Pramel1,PRAMEF11
Pramel21,PRAMEF11
Pramel22,PRAMEF11
Pramel60,PRAMEF11
Pramel50,PRAMEF11
Gm16367,PRAMEF11
Pramel19,PRAMEF11
Pramel46,PRAMEF11
Pramel51,PRAMEF11
Pramel42,PRAMEF11
Pramel47,PRAMEF11
Pramel35,PRAMEF11
Pramel36,PRAMEF11
Pramel44,PRAMEF11
Oog3,PRAMEF11
Pramel33,PRAMEF11
Pramel43,PRAMEF11
Gm13043,PRAMEF11
Pramel48,PRAMEF11
Pramel4,PRAMEF11
Pramel23,PRAMEF11
Pramel40,PRAMEF11
Pramel38,PRAMEF11
Pramel57,PRAMEF11
Pramel45,PRAMEF11
Pramel14,PRAMEF11
Pramel37,PRAMEF11
Pramel41,PRAMEF11
Gm13057,PRAMEF11
Pramel11,PRAMEF11
Prame62,PRAMEF11
Gm13040,PRAMEF11
Pramel16,PRAMEF11
Pramel7,PRAMEF11
Pramel29,PRAMEF11
Pramel25,PRAMEF11
Pramel34,PRAMEF11
Gm2042,PRAMEF11
Pramel6,PRAMEF11
Pramel54,PRAMEF11
Pramel15,PRAMEF11
C130073F10Rik,PRAMEF11
Pramel53,PRAMEF11
Oog2,PRAMEF11
Pramel5,PRAMEF11
Pramel49,PRAMEF11
Pramel27,PRAMEF11
Pramel12,PRAMEF11
Gm12790,PRAMEF11
Pramel28,PRAMEF11
Oog1,PRAMEF11
Pramel26,PRAMEF11
Oog4,PRAMEF11
Pramel18,PRAMEF11
Pramel17,PRAMEF11
Pramel13,PRAMEF11
Pramel32,PRAMEF11
Hnrnpc,HNRNPCL1
Pramel61,PRAMEF2
Pramel20,PRAMEF2
Pramel24,PRAMEF2
Pramel30,PRAMEF2
Pramel31,PRAMEF2
Pramel55,PRAMEF2
Pramel56,PRAMEF2
Pramel1,PRAMEF2
Pramel21,PRAMEF2
Pramel22,PRAMEF2
Pramel60,PRAMEF2
Pramel50,PRAMEF2
Gm16367,PRAMEF2
Pramel19,PRAMEF2
Pramel46,PRAMEF2
Pramel51,PRAMEF2
Pramel42,PRAMEF2
Pramel47,PRAMEF2
Pramel35,PRAMEF2
Pramel36,PRAMEF2
Pramel44,PRAMEF2
Oog3,PRAMEF2
Pramel33,PRAMEF2
Pramel43,PRAMEF2
Gm13043,PRAMEF2
Pramel48,PRAMEF2
Pramel4,PRAMEF2
Pramel23,PRAMEF2
Pramel40,PRAMEF2
Pramel38,PRAMEF2
Pramel57,PRAMEF2
Pramel45,PRAMEF2
Pramel14,PRAMEF2
Pramel37,PRAMEF2
Pramel41,PRAMEF2
Gm13057,PRAMEF2
Pramel11,PRAMEF2
Prame62,PRAMEF2
Gm13040,PRAMEF2
Pramel16,PRAMEF2
Pramel7,PRAMEF2
Pramel29,PRAMEF2
Pramel25,PRAMEF2
Pramel34,PRAMEF2
Gm2042,PRAMEF2
Pramel6,PRAMEF2
Pramel54,PRAMEF2
Pramel15,PRAMEF2
C130073F10Rik,PRAMEF2
Pramel53,PRAMEF2
Oog2,PRAMEF2
Pramel5,PRAMEF2
Pramel49,PRAMEF2
Pramel27,PRAMEF2
Pramel12,PRAMEF2
Gm12790,PRAMEF2
Pramel28,PRAMEF2
Oog1,PRAMEF2
Pramel26,PRAMEF2
Oog4,PRAMEF2
Pramel18,PRAMEF2
Pramel17,PRAMEF2
Pramel13,PRAMEF2
Pramel32,PRAMEF2
Tmem68,TMEM68
Pramel61,PRAMEF4
Pramel20,PRAMEF4
Pramel24,PRAMEF4
Pramel30,PRAMEF4
Pramel31,PRAMEF4
Pramel55,PRAMEF4
Pramel56,PRAMEF4
Pramel1,PRAMEF4
Pramel21,PRAMEF4
Pramel22,PRAMEF4
Pramel60,PRAMEF4
Pramel50,PRAMEF4
Gm16367,PRAMEF4
Pramel19,PRAMEF4
Pramel46,PRAMEF4
Pramel51,PRAMEF4
Pramel42,PRAMEF4
Pramel47,PRAMEF4
Pramel35,PRAMEF4
Pramel36,PRAMEF4
Pramel44,PRAMEF4
Oog3,PRAMEF4
Pramel33,PRAMEF4
Pramel43,PRAMEF4
Gm13043,PRAMEF4
Pramel48,PRAMEF4
Pramel4,PRAMEF4
Pramel23,PRAMEF4
Pramel40,PRAMEF4
Pramel38,PRAMEF4
Pramel57,PRAMEF4
Pramel45,PRAMEF4
Pramel14,PRAMEF4
Pramel37,PRAMEF4
Pramel41,PRAMEF4
Gm13057,PRAMEF4
Pramel11,PRAMEF4
Prame62,PRAMEF4
Gm13040,PRAMEF4
Pramel16,PRAMEF4
Pramel7,PRAMEF4
Pramel29,PRAMEF4
Pramel25,PRAMEF4
Pramel34,PRAMEF4
Gm2042,PRAMEF4
Pramel6,PRAMEF4
Pramel54,PRAMEF4
Pramel15,PRAMEF4
C130073F10Rik,PRAMEF4
Pramel53,PRAMEF4
Oog2,PRAMEF4
Pramel5,PRAMEF4
Pramel49,PRAMEF4
Pramel27,PRAMEF4
Pramel12,PRAMEF4
Gm12790,PRAMEF4
Pramel28,PRAMEF4
Oog1,PRAMEF4
Pramel26,PRAMEF4
Oog4,PRAMEF4
Pramel18,PRAMEF4
Pramel17,PRAMEF4
Pramel13,PRAMEF4
Pramel32,PRAMEF4
Saa4,SAA4
Anp32b,ANP32B
Gm22950,RNU6-1072P
Pramel61,PRAMEF6
Pramel20,PRAMEF6
Pramel24,PRAMEF6
Pramel30,PRAMEF6
Pramel31,PRAMEF6
Pramel55,PRAMEF6
Pramel56,PRAMEF6
Pramel1,PRAMEF6
Pramel21,PRAMEF6
Pramel22,PRAMEF6
Pramel60,PRAMEF6
Pramel50,PRAMEF6
Gm16367,PRAMEF6
Pramel19,PRAMEF6
Pramel46,PRAMEF6
Pramel51,PRAMEF6
Pramel42,PRAMEF6
Pramel47,PRAMEF6
Pramel35,PRAMEF6
Pramel36,PRAMEF6
Pramel44,PRAMEF6
Oog3,PRAMEF6
Pramel33,PRAMEF6
Pramel43,PRAMEF6
Gm13043,PRAMEF6
Pramel48,PRAMEF6
Pramel4,PRAMEF6
Pramel23,PRAMEF6
Pramel40,PRAMEF6
Pramel38,PRAMEF6
Pramel57,PRAMEF6
Pramel45,PRAMEF6
Pramel14,PRAMEF6
Pramel37,PRAMEF6
Pramel41,PRAMEF6
Gm13057,PRAMEF6
Pramel11,PRAMEF6
Prame62,PRAMEF6
Gm13040,PRAMEF6
Pramel16,PRAMEF6
Pramel7,PRAMEF6
Pramel29,PRAMEF6
Pramel25,PRAMEF6
Pramel34,PRAMEF6
Gm2042,PRAMEF6
Pramel6,PRAMEF6
Pramel54,PRAMEF6
Pramel15,PRAMEF6
C130073F10Rik,PRAMEF6
Pramel53,PRAMEF6
Oog2,PRAMEF6
Pramel5,PRAMEF6
Pramel49,PRAMEF6
Pramel27,PRAMEF6
Pramel12,PRAMEF6
Gm12790,PRAMEF6
Pramel28,PRAMEF6
Oog1,PRAMEF6
Pramel26,PRAMEF6
Oog4,PRAMEF6
Pramel18,PRAMEF6
Pramel17,PRAMEF6
Pramel13,PRAMEF6
Pramel32,PRAMEF6
Grip2,GRIP2
Pramel61,PRAMEF13
Pramel20,PRAMEF13
Pramel24,PRAMEF13
Pramel30,PRAMEF13
Pramel31,PRAMEF13
Pramel55,PRAMEF13
Pramel56,PRAMEF13
Pramel1,PRAMEF13
Pramel21,PRAMEF13
Pramel22,PRAMEF13
Pramel60,PRAMEF13
Pramel50,PRAMEF13
Gm16367,PRAMEF13
Pramel19,PRAMEF13
Pramel46,PRAMEF13
Pramel51,PRAMEF13
Pramel42,PRAMEF13
Pramel47,PRAMEF13
Pramel35,PRAMEF13
Pramel36,PRAMEF13
Pramel44,PRAMEF13
Oog3,PRAMEF13
Pramel33,PRAMEF13
Pramel43,PRAMEF13
Gm13043,PRAMEF13
Pramel48,PRAMEF13
Pramel4,PRAMEF13
Pramel23,PRAMEF13
Pramel40,PRAMEF13
Pramel38,PRAMEF13
Pramel57,PRAMEF13
Pramel45,PRAMEF13
Pramel14,PRAMEF13
Pramel37,PRAMEF13
Pramel41,PRAMEF13
Gm13057,PRAMEF13
Pramel11,PRAMEF13
Prame62,PRAMEF13
Gm13040,PRAMEF13
Pramel16,PRAMEF13
Pramel7,PRAMEF13
Pramel29,PRAMEF13
Pramel25,PRAMEF13
Pramel34,PRAMEF13
Gm2042,PRAMEF13
Pramel6,PRAMEF13
Pramel54,PRAMEF13
Pramel15,PRAMEF13
C130073F10Rik,PRAMEF13
Pramel53,PRAMEF13
Oog2,PRAMEF13
Pramel5,PRAMEF13
Pramel49,PRAMEF13
Pramel27,PRAMEF13
Pramel12,PRAMEF13
Gm12790,PRAMEF13
Pramel28,PRAMEF13
Oog1,PRAMEF13
Pramel26,PRAMEF13
Oog4,PRAMEF13
Pramel18,PRAMEF13
Pramel17,PRAMEF13
Pramel13,PRAMEF13
Pramel32,PRAMEF13
Pts,PTS
Gm22950,RNU6-771P
Cndp2,CNDP2
Pramel61,PRAMEF33
Pramel20,PRAMEF33
Pramel24,PRAMEF33
Pramel30,PRAMEF33
Pramel31,PRAMEF33
Pramel55,PRAMEF33
Pramel56,PRAMEF33
Pramel1,PRAMEF33
Pramel21,PRAMEF33
Pramel22,PRAMEF33
Pramel60,PRAMEF33
Pramel50,PRAMEF33
Gm16367,PRAMEF33
Pramel19,PRAMEF33
Pramel46,PRAMEF33
Pramel51,PRAMEF33
Pramel42,PRAMEF33
Pramel47,PRAMEF33
Pramel35,PRAMEF33
Pramel36,PRAMEF33
Pramel44,PRAMEF33
Oog3,PRAMEF33
Pramel33,PRAMEF33
Pramel43,PRAMEF33
Gm13043,PRAMEF33
Pramel48,PRAMEF33
Pramel4,PRAMEF33
Pramel23,PRAMEF33
Pramel40,PRAMEF33
Pramel38,PRAMEF33
